OBJECTID_1,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,SHAPE_Length,SHAPE_Area
1,4c07d11d-f71d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18105,47014,Aultagh,47014001,47014001,A047014001,0,0,1,22550.91741,24611558.62
2,4c07d11d-f71e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18107,47034,Ballymoney,47034002,47034002,A047034002,0,0,2,21636.94706,11956232.28
3,4c07d11d-f71f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18018,47056,Boulteen,47056001,47056001,A047056001,0,0,3,16620.75734,9427848.725
4,4c07d11d-f720-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18030,47300,Teadies,47300001,47300001,A047300001,0,0,4,20382.2435,11369687
5,4c07d11d-f564-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27157,67162,Letterfore,67162001,67162001,A067162001,0,0,5,65954.53979,81329822.33
6,4c07d11d-f565-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27026,67078,Cushkillary,067078001/067078002,067078001/067078002,A067078001/067078002,0,0,6,61781.92422,63844971.95
7,4c07d11d-f566-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29150/29130,157129/157041,Owennadornaun / Bundorragha,157041002/157041004/157041003/157041001/157129002/157129001,157041002/157041004/157041003/157041001/157129002/157129001,A157041002/157041004/157041003/157041001/157129002/157129001,0,0,7,48812.4247,70981069.73
8,4c07d11d-f567-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27151,67069,Conga,67069001,67069001,A067069001,0,0,8,36508.13655,24452954.53
9,4c07d11d-f568-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29047,157128,Abhainn Bhrain,157128002,157128002,A157128002,0,0,9,38455.69888,40674090.98
10,4c07d11d-f569-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29139,157077,Erriff,157077001/157077002,157077001/157077002,A157077001/157077002,0,0,10,52647.55425,82998743.5
11,4c07d11d-f56a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29131,157050,Clare Island,157050001,157050001,A157050001,0,0,11,40562.13118,22802636.83
12,4c07d11d-f56b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29126,157004,Aghagower South,157004001,157004001,A157004001,0,0,12,26978.60116,22881515.71
13,4c07d11d-f56c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29133,157060,An Corrán,157060003,157060003,A157060003,0,0,13,35886.00959,32780888.24
14,4c07d11d-f56d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29143,157100,Kilmaclasser,157100002,157100002,A157100002,0,0,14,21790.67864,15249351.21
15,4c07d11d-f56e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29140,157083,Glenhest,157083001,157083001,A157083001,0,0,15,32734.32671,45705594.74
16,4c07d11d-f56f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27151,67069,Conga,67069002,67069002,A067069002,0,0,16,54123.57739,55524811.36
17,4c07d11d-f570-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29035,157029,Baile Óbha,157029001,157029001,A157029001,0,0,17,37215.09979,33123723.28
18,4c07d11d-f571-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29052,157007,An Geata Mór Theas,157007001/157007005,157007001/157007005,A157007001/157007005,0,0,18,59711.2929,12920886.75
19,4c07d11d-f572-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29129,157024,Ballycroy South,157024001/157024004,157024001/157024004,A157024001/157024004,0,0,19,90051.81931,100996716.6
20,4c07d11d-f573-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29014,157040,Bunaveela,157040001,157040001,A157040001,0,0,20,36720.3385,54659368.42
21,4c07d11d-f574-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29028,157114,Letterbrick,157114001,157114001,A157114001,0,0,21,35012.95413,34892519.48
22,4c07d11d-f575-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29019,157071,Derry,157071001,157071001,A157071001,0,0,22,53885.1906,65509555.02
23,4c07d11d-f576-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29056,157080,Gleann na Muaidhe,157080001,157080001,A157080001,0,0,23,42237.6991,57957762.39
24,4c07d11d-f577-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29054,157032,Barr Rúscaí,157032001,157032001,A157032001,0,0,24,36179.2435,48297628.42
25,4c07d11d-f578-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29013,157034,Béal Deirg Mór,157034001/157034002,157034001/157034002,A157034001/157034002,0,0,25,52888.97017,79845054.19
26,4c07d11d-f465-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,MO,Mayo,29058/29065,157082/157136,Glenco / Sheskin,157082001/157136001,157082001/157136001,A157082001/157136001,0,0,26,68098.28939,163247880
27,4c07d11d-f466-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19023,77154,Toghroinn Fhíonáin,077154001/077154002,077154001/077154002,A077154001/077154002,0,0,27,31747.05633,14931092.89
28,4c07d11d-f467-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19005,77011,Baile an Sceilg,77011001,77011001,A077011001,0,0,28,36831.80122,19664343.49
29,4c07d11d-f468-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19034,77073,Dún Chaoin,077073001/077073002,077073001/077073002,A077073001/077073002,0,0,29,53910.59822,14184541.16
30,4c07d11d-f469-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18051,47188,Kilcatherine,47188005,47188005,A047188005,0,0,30,36487.96061,26552773.23
31,4c07d11d-f46a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18287,47004,Aghadown South,047004002/047004006,047004002/047004006,A047004002/047004006,0,0,31,40209.69074,9059961.351
32,4c07d11d-f46b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18047,47002,Adrigole,047002001/047002006,047002001/047002006,A047002001/047002006,0,0,32,41173.28277,39384273.5
33,4c07d11d-f46c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18033/18046,047041/047319,Bantry Rural / Whiddy,047041005/047041001/047041004/047041002/047041003/047319001,047041005/047041001/047041004/047041002/047041003/047319001,A047041005/047041001/047041004/047041002/047041003/047319001,0,0,33,60121.06761,36559002.3
34,4c07d11d-f46d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18042,47251,Mealagh,47251001,47251001,A047251001,0,0,34,23933.33072,16821747.67
35,4c07d11d-f46e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18040,47181,Kealkill,47181001,47181001,A047181001,0,0,35,28371.04138,22961050.07
36,4c07d11d-f46f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18021,47177,Inishannon,47177001,47177001,A047177001,0,0,36,22802.15641,7253481.962
37,4c07d11d-f470-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19049,77042,Castlecove,077042002/077042003/077042004,077042002/077042003/077042004,A077042002/077042003/077042004,0,0,37,36165.92429,17999777.42
38,4c07d11d-f471-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19049,77042,Castlecove,77042001,77042001,A077042001,0,0,38,36775.91668,47524217.08
39,4c07d11d-f472-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19061,77156,Tahilla,077156001/077156002/077156003,077156001/077156002/077156003,A077156001/077156002/077156003,0,0,39,58173.68736,41936481.41
40,4c07d11d-f473-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19004,77009,Na Beathacha,77009001,77009001,A077009001,0,0,40,36450.55315,39321910.3
41,4c07d11d-f474-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19009/19020,077037/077133,Ceannúigh / Máistir Gaoithe,077037001/077133001,077037001/077133001,A077037001/077133001,0,0,41,45146.1932,63485495.83
42,4c07d11d-f475-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19014/19011,077064/077050,Doire Ianna / Cloon,77064001,77064001,A077064001,0,0,42,56680.95819,95960448.69
43,4c07d11d-f476-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19060,77153,Sneem,77153005,77153005,A077153005,0,0,43,46020.32292,57942829.09
44,4c07d11d-f477-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19047,77026,Banawn,77026001,77026001,A077026001,0,0,44,45318.25849,66766543.49
45,4c07d11d-f478-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19058,77130,Loughbrin,77130001,77130001,A077130001,0,0,45,55933.65333,62632504.59
46,4c07d11d-f479-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19055,77084,Greenane,77084001,77084001,A077084001,0,0,46,34848.82002,28850826.08
47,4c07d11d-f47a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19059,77149,Reen,077149001/077149002,077149001/077149002,A077149001/077149002,0,0,47,35121.51416,21165880.68
48,4c07d11d-f47b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19048,77038,Cappagh,77038001,77038001,A077038001,0,0,48,43063.60127,30918863.14
49,4c07d11d-f47c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19057,77097,Kilgarvan,77097001,77097001,A077097001,0,0,49,42749.37463,40164994.94
50,4c07d11d-f47d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19090,77141,Muckross,77141001,77141001,A077141001,0,0,50,58447.56221,103147232
51,4c07d11d-f47e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19076,77077,Flesk,77077001,77077001,A077077001,0,0,51,49046.25739,39221958.04
52,4c07d11d-f4bd-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19076,77077,Flesk,77077002,77077002,A077077002,0,0,52,37189.65707,19257087.24
53,4c07d11d-f4be-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19027,77016,An Baile Dubh,77016001,77016001,A077016001,0,0,53,27488.66506,32967854.32
54,4c07d11d-f4bf-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19032,77062,Deelis,77062001,77062001,A077062001,0,0,54,29139.59201,26685313.2
55,4c07d11d-f4c0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19150,77095,Kilflyn,77095001,77095001,A077095001,0,0,55,28741.72969,18945438.1
56,4c07d11d-f4c1-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19145,77056,Crinny,77056001,77056001,A077056001,0,0,56,26118.46182,16655270.3
57,4c07d11d-f4c2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19154,77110,Kilmurry,77110001,77110001,A077110001,0,0,57,28816.04741,24737868.69
58,4c07d11d-f4c3-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18206,47167,Gort na Tiobratan,47167001,47167001,A047167001,0,0,58,30684.24266,22795639.09
59,4c07d11d-f4c4-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19068,77052,Clydagh,77052001,77052001,A077052001,0,0,59,43116.75263,60404539.39
60,4c07d11d-f4c5-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18217,47272,Rahalisk,47272001,47272001,A047272001,0,0,60,29544.43182,32295777.19
61,4c07d11d-f4c6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18210,47182,Kilberrihert,47182002,47182002,A047182002,0,0,61,33989.34023,16518416.08
62,4c07d11d-f4c7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18210,47182,Kilberrihert,47182001,47182001,A047182001,0,0,62,41574.13225,27984783.64
63,4c07d11d-f4c8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18211,47193,Kilcullen,47193002,47193002,A047193002,0,0,63,29215.35391,13419801.1
64,4c07d11d-f4c9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18265,47062,Caherbarnagh,47062002,47062002,A047062002,0,0,64,30412.55655,24464799.97
65,4c07d11d-f4ca-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,KY,Kerry,19144,77055,Cordal,77055001,77055001,A077055001,0,0,65,26954.11326,23928895.26
66,4c07d11d-f4cb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18164,47209,Kilmeen,47209001,47209001,A047209001,0,0,66,28059.03225,20812873.02
67,4c07d11d-f4d6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27155,67121,Cill Chuimín,67121001,67121001,A067121001,0,0,67,44929.90548,59971034.26
68,4c07d11d-f4d7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16022,37104,Kiltoraght,37104001,37104001,A037104001,0,0,68,35360.83464,19198809.88
69,4c07d11d-f4d8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16061,37116,Lurraga,37116001,37116001,A037116001,0,0,69,29666.75228,15053633.76
70,4c07d11d-f4d9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16020/16017,037067/037008,Glenroe / Ballyeighter,037008001/037067001,037008001/037067001,A037008001/037067001,0,0,70,38598.65543,38005896.19
71,4c07d11d-f4da-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16018,37015,Boston,37015001,37015001,A037015001,0,0,71,33974.66734,48167046.21
72,4c07d11d-f514-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16150,37127,Newgrove,37127001,37127001,A037127001,0,0,72,28436.65192,22404216.32
73,4c07d11d-f515-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16124,37020,Cappaghabaun,37020001,37020001,A037020001,0,0,73,33633.32457,33188849.05
74,4c07d11d-f516-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27129/27126,067171/067168,Marblehill / Loughatorick,067168001/067171002/067171001,067168001/067171002/067171001,A067168001/067171002/067171001,0,0,74,47543.72597,74107453.37
75,4c07d11d-f517-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27055,67125,Cill Aithnín,67125001,67125001,A067125001,0,0,75,42789.18604,58421299.15
76,4c07d11d-f518-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27159,67185,Oughterard,67185001,67185001,A067185001,0,0,76,48936.97868,60784706.56
77,4c07d11d-f519-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27048,67055,Baile Chláir,67055005,67055005,A067055005,0,0,77,28203.90839,11912143.3
78,4c07d11d-f51a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18121,47005,Aghern,47005001,47005001,A047005001,0,0,78,26671.32133,15638809.53
79,4c07d11d-f51b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,25057,227014,Ballysaggartmore,227014001,227014001,A227014001,0,0,79,33387.58435,34615832.98
80,4c07d11d-f51c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23120,217037,Burncourt,217037001,217037001,A217037001,0,0,80,33539.72568,20279058.53
81,4c07d11d-f51d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,25055,227008,Ballyin,227008001,227008001,A227008001,0,0,81,50696.37602,46104489.01
82,4c07d11d-f51e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22043,217109,Kilnarath,217109001,217109001,A217109001,0,0,82,31148.34537,32635723.15
83,4c07d11d-f51f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22037/22045,217086/217117,Greenhall / Lackagh,217086001/217117001,217086001/217117001,A217086001/217117001,0,0,83,40936.62147,36146751.1
84,4c07d11d-f520-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22046,217118,Latteragh,217118001,217118001,A217118001,0,0,84,29561.87929,25738366.89
85,4c07d11d-f521-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22068,217087,Holycross,217087001,217087001,A217087001,0,0,85,25804.18463,12407913.14
86,4c07d11d-f522-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,22017,217124,Lorrha West,217124001,217124001,A217124001,0,0,86,29454.23291,19977957.58
87,4c07d11d-f523-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12008,187021,Clonmacnoise,187021001,187021001,A187021001,0,0,87,29881.368,30290046.88
88,4c07d11d-f524-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,LS,Laois,8074,107086,Rosenallis,107086001,107086001,A107086001,0,0,88,28445.39845,19318960.84
89,4c07d11d-f525-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15073,257023,Coolballintaggart,257023002,257023002,A257023002,0,0,89,46536.93749,39743363.11
90,4c07d11d-f526-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15042,257007,Ballinacor,257007001,257007001,A257007001,0,0,90,34659.65678,52005531.69
91,4c07d11d-f527-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15058,257053,Knockrath,257053001,257053001,A257053001,0,0,91,50123.38787,70966409.82
92,4c07d11d-f528-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15020,257044,Imael South,257044001,257044001,A257044001,0,0,92,30844.13159,22489269.66
93,4c07d11d-f529-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15022,257054,Lackan,257054001,257054001,A257054001,0,0,93,50320.04637,47662647.17
94,4c07d11d-f52a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15010,257016,Blessington,257016003,257016003,A257016003,0,0,94,41410.93953,50851581.99
95,4c07d11d-f52b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15046,257018,Brockagh,257018001,257018001,A257018001,0,0,95,32902.71072,22355624.11
96,4c07d11d-f52c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15053,257037,Glendalough,257037001,257037001,A257037001,0,0,96,39742.63441,61677110.86
97,4c07d11d-f52d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15021,257046,Kilbride,257046001,257046001,A257046001,0,0,97,42257.6998,41797418.31
98,4c07d11d-f52e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15036,257062,Powerscourt,257062001,257062001,A257062001,0,0,98,42961.5223,44209843.71
99,4c07d11d-f52f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27027/27028,067081/067084,Derrycunlagh / Derrylea,067081001/067084001/067084002,067081001/067084001/067084002,A067081001/067084001/067084002,0,0,99,53265.40765,77928277.26
100,4c07d11d-f530-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27038,67199,Sillerna,067109001/067109002,067199002/067199004,A067109001/067109002,0,0,100,31483.41901,7880859.831
101,4c07d11d-f561-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27032,67109,Inishbofin,067109001/067109002,067109001/067109002,A067109001/067109002,0,0,101,50687.94128,13008197.35
102,4c07d11d-f562-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27034,67182,Maíros,67182002,67182002,A067182002,0,0,102,48477.61969,51233989.32
103,4c07d11d-f563-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27022,67037,Binn an Choire,67037001,67037001,A067037001,0,0,103,55993.35574,107015530.5
104,4c07d11d-f6d6-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18116,47155,Garrown,47155001,47155001,A047155001,0,0,104,38934.37306,39280975.59
105,4c07d11d-f6d7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18119,47255,Milane,47255001,47255001,A047255001,0,0,105,32171.13136,20919149.75
106,4c07d11d-f716-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18115,47146,Dunmanway South,47146001,47146001,A047146001,0,0,106,22418.79342,11338292.4
107,4c07d11d-f717-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18112,47113,Coolmountain,47113001,47113001,A047113001,0,0,107,23095.11015,18175225.14
108,4c07d11d-f718-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18072,47283,Rossmore,47283001,47283001,A047283001,0,0,108,21756.9887,13509158.37
109,4c07d11d-f719-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18060,47095,Clonakilty Rural,47095001,47095001,A047095001,0,0,109,16930.29186,8746521.731
110,4c07d11d-f71a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18067,47211,Kilmoylerane,47211001,47211001,A047211001,0,0,110,20597.4811,13845526.58
111,4c07d11d-f71b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18118,47247,Manch,47247002,47247002,A047247002,0,0,111,18942.52032,9505650.78
112,4c07d11d-f71c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18118,47247,Manch,47247001,47247001,A047247001,0,0,112,27442.75931,15176038.16
113,4c07d11d-f6c8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18039,47160,Glengarriff,47160003,47160003,A047160003,0,0,113,28159.7202,14107663
114,4c07d11d-f6c9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18304,47265,Myross,47265002,47265002,A047265002,0,0,114,15827.3366,5716091.124
115,4c07d11d-f6ca-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18292,47082,Castlehaven North,47082006,47082006,A047082006,0,0,115,27055.47277,11834361.21
116,4c07d11d-f6cb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18308,47321,Woodfort,47321001,47321001,A047321001,0,0,116,24569.94384,12254836.62
117,4c07d11d-f6cc-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18303,47232,Knockskagh,47232002,47232002,A047232002,0,0,117,19976.50975,9591565.596
118,4c07d11d-f6cd-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18291,47073,Carrigbaun,47073001,47073001,A047073001,0,0,118,18186.11737,9418887.661
119,4c07d11d-f6ce-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18295,47104,Cloonkeen,47104001,47104001,A047104001,0,0,119,20530.08205,8794577.656
120,4c07d11d-f6cf-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18070,47274,Rathbarry,047274003/047274004,047274003/047274004,A047274003/047274004,0,0,120,19506.54389,6092565.345
121,4c07d11d-f6d0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18063,47126,Derry,047126002/047126003/047126004/047126005,047126002/047126003/047126004/047126005,A047126002/047126003/047126004/047126005,0,0,121,23131.81456,10550879.31
122,4c07d11d-f6d1-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18058,47065,Cahermore,47065002,47065002,A047065002,0,0,122,21637.95291,8649577.492
